"Figure 1: House prices have become less affordable over time, with the latest levels returning to the previous trend",,
"Housing affordability ratio by country, 1997 to 2022",,
,,
,,
,,
,,
Year,England,Wales
1997,3.54,3
1998,3.67,3.04
1999,3.96,3.16
2000,4.19,3.26
2001,4.5,3.33
2002,5.12,3.71
2003,5.93,4.31
2004,6.6,5.43
2005,6.79,6.01
2006,6.95,6.25
2007,7.15,6.59
2008,6.97,6.32
2009,6.4,5.7
2010,6.85,5.82
2011,6.8,5.6
2012,6.77,5.63
2013,6.76,5.54
2014,7.09,5.64
2015,7.52,5.75
2016,7.72,5.82
2017,7.91,5.76
2018,8.04,5.92
2019,7.88,5.83
2020,7.86,5.85
2021,9.06,6.49
2022,8.28,6.21
